Title,ingredients
Gorditas con Camarones,"instant corn masa flour, lard, or vegetable oil, divided, Diamond Crystal or Morton kosher salt, divided, plus more, guajillo or New Mexico chiles, stems and seeds removed, morita chiles, stems removed, or canned chipotle chiles in adobo, coriander or cumin, shrimp, peeled, deveined, garlic, thinly, thyme, apple cider vinegar, agave syrup or honey, butter, cut into, onion, avocado, cilantro with tender stems, and lime wedges"
Enfrijoladas,"vegetable oil, divided, corn tortillas, chorizo, garlic, white onion, thinly, plus more for serving, Kosher salt, black beans, rinsed, or Frijoles de la Olla, drained, low-sodium chicken broth, queso fresco or Cotija cheese, crumbled, Cilantro with tender stems and avocado"
Caramelized Plantain Parfait,"virgin coconut oil, ripe plátanos manzanos or ripe plantains, peeled, in half lengthwise, Kosher salt, plain unsweetened coconut milk yogurt or Greek yogurt, ripe mangoes, thinly, Toasted nuts, seeds, and/or unsweetened shredded coconut"
Chicken and Potato Gratin With Brown Butter Cream,"skin-on, bone-in chicken thighs and drumsticks, kosher salt, divided, potatoes, halved lengthwise, or shallots, halved through root ends, butter, divided, heavy cream, garlic, finely grated, freshly black pepper, freshly grated or nutmeg, thyme, sage, country-style bread, preferably day-old, torn into, lemon, cut into wedges"
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,"Strips zest from orange, ginger, peeled and thinly shaved, lime juice, champagne vinegar, sugar, plus kosher salt, extra-virgin olive oil, Thai chile, with seeds, beets, about, extra-virgin olive oil, white wine vinegar, water, Kosher salt and freshly black pepper, extra-virgin olive oil, roughly cashews, sunchokes, thinly shaved, Vegetable oil, Kosher salt, orange, Roasted Beets, Extra-virgin olive oil, Kosher salt, Pickled Orange-Ginger Puree, Toasted Cashews, roughly tarragon, roughly dill fronds, Sunchoke Chips"
Kale and Pumpkin Falafels With Pickled Carrot Slaw,"toasted pepitas, shredded kale, stems removed, garlic, chickpeas, rinsed, drained, turmeric, coriander, Sea salt and cracked black pepper, firmly packed grated pumpkin, Extra virgin olive oil, for brushing, Plain Greek-style yogurt and hulled tahini, to serve, carrots, shredded using a julienne peeler, apple cider vinegar, honey, red chiles, coriander"
Maple and Chile Roasted Squash With Quinoa Tabouli,"butternut squash or butternut squash, halved, extra virgin olive oil, pure maple syrup, chile flakes, Sea salt and cracked black pepper, roasted almonds, cooked quinoa, torn mint, wild rocket, hulled tahini, lemon juice, water, garlic, Sea salt flakes"
Chhena Poda (Spiced Cheesecake),"Ghee, for the cake pan, paneer, preferably homemade, confectioners’ sugar, cardamom, semolina, ghee, store-bought or homemade, milk, roasted cashews, golden raisins, granulated sugar, Freshly whipped cream or almonds, for serving"
Paneer,"quarts milk, Juice lemons, kosher salt"
Sloppy Joe Shirred Eggs With Spinach,"carrot, top removed and cut into about, tomatoes, or scant roughly tomatoes, extra virgin olive oil, divided, garlic, spinach, kosher salt, divided, turkey, cumin, smoked paprika, black pepper, R-Rated Onions, red wine vinegar, eggs Parmigiano Reggiano, for serving"
R-Rated Onions,"– or – yellow or white onions, olive or vegetable oil, kosher salt"
Miso-Squash Ramen,"extra-virgin olive oil, white miso, pure maple syrup or brown sugar, regular soy sauce or tamari, kabocha squash, peeled, cut into ""-thick wedges, or butternut squash, peeled, cut into "", extra-virgin olive oil, ginger, coarsely, garlic, coarsely, low-sodium vegetable broth, white miso, Kosher salt, freshly pepper, bunch broccolini, halved crosswise, thicker stalks halved lengthwise, wavy ramen noodles, preferably, Handful cilantro with tender stems"
Spicy Coconut Pumpkin Soup,"coconut oil, calabaza pumpkin, seeded, peeled, and cut into chunks, onion, garlic, ají dulce pepper, seeded and, dark brown sugar, cumin, coconut milk, chicken broth or vegetable broth, Salt and freshly black pepper, cilantro"
Baigan Chokha,"Italian eggplants, canola oil, onion, garlic, finely, tomato, coarse salt, or to taste, Freshly black pepper to taste, coarsely cilantro, Roti, for serving"
Dad’s Curried Chicken,"chicken, cut into, skin removed, freshly squeezed lime juice, Green Seasoning, coarse salt, Scotch bonnet pepper or other hot red chili pepper, finely, garlic, Trinidad Curry Powder, canola oil, onion, chicken stock or water, Roti or white rice, for serving"
Trinidad Curry Powder,"cardamom pods, coriander seeds, cumin seeds, mustard seeds, fenugreek seeds, curry, black peppercorns, plus turmeric"
Shrimp Creole,"garlic, onions, fine, finely celery, red bell pepper, cut into -inch dice, green bell pepper, cut into -inch dice, olive oil, chicken broth, tomatoes, drained and, bay, cumin, salt, or to taste, freshly black pepper, shrimp, shelled and deveined, Accompaniment: uncooked rice, prepared according to instructions but without butter or margarine"
Green Seasoning,"chives, shado beni or cilantro, thyme, oregano, parsley, garlic"
Chicken Pelau,"dry or pigeon peas, pinto beans, or black-eyed peas, long-grain rice, canola oil, sugar, chicken, cut into, skin removed, onion, garlic, finely, coconut milk, bay, Green Seasoning, parsley, thyme, carrots, peeled and, scallions, Kosher salt, cubed calabaza or butternut squash, Scotch bonnet pepper, ketchup, butter"
Our Favorite Creamy Mashed Potatoes,"Yukon Gold potatoes, peeled, cut into "", garlic, peeled, plus kosher salt, divided, plus more, milk, thyme, plus butter, divided, freshly black pepper, plus more, sour cream, A potato ricer or food mill"
Remember the Alimony,"London Dry gin, Cynar, Fino sherry, Orange twist, to garnish"
Creole Cream Cheesecake With Caramel-Apple Topping,"graham cracker crumbs, granulated sugar, firmly packed light brown sugar, ⁄ kosher salt, ⁄ butter, cream cheese, at room temperature, granulated sugar, Creole Cream Cheese, vanilla bean paste, eggs, at room temperature, Ingredient Info: You substitute sour cream mixed with ⁄ buttermilk for the Creole Cream Cheese, butter, ⁄ granulated sugar, ⁄ firmly packed light brown sugar, honey, peeled, cored, and evenly Granny Smith apples, finely grated lemon zest, lemon juice, ⁄ kosher salt, ⁄ cinnamon, ⁄ cardamom, ⁄ ginger, vanilla extract"
Creole Cream Cheese,"quarts skim milk, ⁄ buttermilk, rennet tablet"
Buss Up Shut (Paratha Roti),"nonfat dry milk powder, baking powder, granulated sugar or light brown sugar, all-purpose flour, plus more for dusting, vegetable oil, plus more, vegetable shortening, room temperature, ghee, butter, or vegan butter, room temperature"
Best Deviled Eggs,"eggs, mayonnaise, Dijon mustard, cayenne, Garnishes: paprika and chives, Pastry bag fitted with -inch star tip"
Mango Curry,"green, unripe mangoes, peeled and, shallots, thinly, Indian or Thai green chiles, halved lengthwise, ginger, peeled and cut into thin matchsticks, garlic, cut into thin matchsticks, coconut vinegar or white vinegar, salt, coconut milk, coconut oil, black mustard seeds, red chiles, snapped in half, curry, Fried Onions for garnish, Basmati Rice to serve"
Iced Café de Olla,"grated piloncillo or dark brown sugar, canela or cinnamon, cardamom pods, cracked, allspice berries, black peppercorns, kosher salt, wide strips orange zest, – cold-brew coffee, Unsweetened coconut milk or half-and-half"
Pumpkin Dutch Baby With Pumpkin Butter,"eggs, room temperature, pumpkin purée, divided, milk, room temperature, butter, room temperature, divided, all-purpose flour, cinnamon, divided, allspice, ginger, nutmeg, Kosher salt, apple cider or juice, maple syrup, Powdered sugar, for serving"
Braised Chicken Legs With Grapes and Fennel,"chicken legs, patted dry, kosher salt, divided, extra-virgin olive oil, divided, fennel bulbs, plus coarsely fronds, Red Flame or green table grapes, stems removed, chicken broth, honey, Calabrian chile paste or Calabrian chiles, red wine vinegar"
Old-Fashioned Scalloped Potatoes,"thinly onion, butter, all-purpose flour, milk, boiling potatoes, coarsely grated sharp Cheddar, dry bread crumbs"
Yogurt and Spice Roasted Salmon,"skinless salmon fillet, cut into cm cubes, Greek yogurt, garlic granules, heaped rose harissa, turmeric, paprika, Finely grated zest unwaxed lime and a good squeeze juice, olive oil, Generous amount Maldon sea salt flakes and freshly black pepper, Tortilla wraps, tomatoes, Finely onion, Coriander, Greek yogurt"
Pita,"warm water, instant yeast, bread flour, divided, plus more as needed, canola oil, plus more for your bowl, Morton kosher salt"
Veselka's Famous Borscht,"beets, scrubbed thoroughly but not peeled, white vinegar, One - boneless pork butt, halved, beef, chicken, or vegetable stock, bay, allspice berries, black peppercorns, carrots, peeled and, celery stalks, head green cabbage, shredded, Idaho potatoes, peeled and cut into -inch dice, One - lima beans, drained and rinsed, Salt"
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,"– - skin-on red snapper fillets, patted dry, okra salt or kosher salt, plus more, Alligator pepper or freshly black pepper, cubeb pepper or Ashanti pepper, green or -ripe papaya, peeled, insides discarded, bunch cilantro, extra-virgin olive oil, red onion, coarsely, garlic, coarsely, "" ginger, peeled, coarsely, – bird chiles or other hot chile powder, lemon, halved, puna, white yams, or sweet potatoes, coconut sugar or dark brown sugar, kosher salt, divided, extra-virgin olive oil, divided, Freshly black pepper, chile powder, Drunk Apricot Shito, A spice mill or mortar and pestle"
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),"apricots, dark rum or arrack, butter, cinnamon, plus coconut sugar or dark brown sugar, grains selim pods, cubeb pepper or Ashanti pepper, peanut oil or vegetable oil, white onion, finely, red onion, thinly, garlic, coarsely, "" ginger, peeled, finely grated, red pepper flakes, rosemary, thyme, prawn or shrimp powder, okra salt or kosher salt, plus more, tomato purée, – chile powder, low-sodium chicken broth, Scotch bonnet or habanero chile, pierced a few times with a knife, A spice mill or mortar and pestle"
Summer Bean Soup With Tomato Brown Butter,"beans, such as flageolet or navy, or shelling beans, in square kombu, tomatoes, celery ribs, carrot, leek, white and light green parts only, shallots, skins intact, garlic, oil-packed anchovy fillets, extra-virgin olive oil, maple syrup, kosher salt, red pepper flakes, -grain mustard, bacon, Romano beans or green beans, into in, shallots, thinly, red pepper flakes, Zest and juice lemon, garlic, grated, pickled green beans, cherry tomatoes, quartered, extra-virgin olive oil, sherry vinegar, Tomato Brown Butter, Crumbled feta, parsley, and marjoram for garnish"
Tomato Brown Butter,"tomato, butter, Kosher salt, Freshly black pepper"
Maple-Roasted Acorn Squash,"acorn squash, unpeeled, halved through the stem, and seeded, butter, pure maple syrup, plus extra for serving, Good olive oil, Kosher salt and freshly black pepper, Flaked sea salt, such as Maldon, for serving"
Coconut-Creamed Corn and Grains,"extra-virgin olive oil, serrano chile or jalapeño, thinly, ginger, peeled, cut into matchsticks, garlic, thinly, scallions, thinly, plus more for serving, turmeric, ears corn, shucked, kernels removed, cooked grains, unsweetened coconut milk, plus more for serving, Kosher salt, store-bought crispy onions or shallots, Lime wedges"
Tomato and Roasted Garlic Pie,"mixed heirloom tomatoes, cored, thick, extra-virgin olive oil, kosher salt, divided, plus more, freshly black pepper, plus more, garlic, peeled, butter, Stoned Wheat Thins or other grain crackers, eggs, Taleggio cheese, rind removed, coarsely grated, finely crumbled Parmesan, mayonnaise, thyme, plus, shallot, thinly, Special Equipment: A springform pan"
Paneer With Burst Cherry Tomato Sauce,"scallions, thinly, ginger, scrubbed, cut into matchsticks, garlic, thinly, coriander seeds, cumin seeds, black mustard seeds, Kashmiri chile powder or cayenne powder, turmeric, extra-virgin olive oil, divided, paneer, into planks, patted dry, Kosher salt, cherry tomatoes, sugar snap peas, strings removed, halved on a diagonal if, sugar, mint, Cooked rice"
Sesame-Scallion Chicken Salad,"skinless, boneless chicken breasts, kosher salt, plus more, scallions, thinly on a deep diagonal, Persian cucumbers, toasted sesame seeds, divided, lime juice, tahini, soy sauce, honey, red pepper flakes, head romaine or green or red lettuce or head Little Gem lettuce, Big handful cilantro with tender stems, lime"
Maple Barbecue Grilled Chicken,"extra-virgin olive oil, garlic, double-concentrated tomato paste, pure maple syrup, soy sauce, Worcestershire sauce, unseasoned rice vinegar, Sriracha or other hot sauce, Vegetable oil, chicken, cut into –, or whatever bone-in cut chicken you feel like cooking, Kosher salt"
Spiced Lamb and Dill Yogurt Pasta,"egg yolks, kefir or plain -milk yogurt, dill fronds with tender stems, divided, garlic, divided, butter, pine nuts or slivered almonds, currants or raisins, kosher salt, plus more, cumin, freshly black pepper, lamb, orecchiette or other short pasta, lemon"
Salt-and-Pepper Fish,"short-grain sushi rice, scallions, ginger, peeled, finely grated, vegetable oil, divided, skinless, boneless cod, cut into ”, Kosher salt, freshly black pepper, unseasoned rice vinegar, sugar, butter, cut into"
Salmon Burgers With Ginger and Quick-Pickled Cucumbers,"boneless, skinless center-cut salmon, patted dry, cut into "", scallions, ginger, peeled, finely grated, garlic, finely grated, plus mayonnaise, kosher salt, plus more, toasted sesame oil, unseasoned rice vinegar, divided, Persian cucumbers, shaved lengthwise, serrano chile, very thinly, sugar, vegetable oil, rice flour, tender herbs, trimmed watercress, toasted sesame seeds, brioche buns, lightly toasted"
Fish Tacos al Pastor,"guajillo chiles, seeds removed, morita chiles, seeds removed, skinless striped bass or halibut fillets, cut crosswise into, orange juice, store-bought or homemade achiote paste, garlic, finely, plus lime juice, plus kosher salt, red onion, finely, habanero chile, finely, finely pineapple, cilantro, plus for serving, Vegetable oil, corn tortillas, Lime wedges"
Nut Butter Granola Bars,"raw nuts, raw pumpkin seeds, extra-virgin olive oil, plus more for pan, old-fashioned oats, divided, fruit, or low-salt natural peanut butter, plus honey, kosher salt, vanilla extract, egg white"
Zucchini-Lentil Fritters With Lemony Yogurt,"-milk yogurt, lemon juice, sugar, Kosher salt, red lentils, zucchini, onion, thinly, kosher salt, divided, plus more, Kashmiri chile powder or cayenne pepper, turmeric, parsley with tender stems, finely grated lemon zest, ghee or neutral vegetable oil"
Fried Onions,"vegetable oil, cooking onions, finely"
Sour Cream and Onion Potato Salad,"baby Yukon Gold potatoes, kosher salt, plus more, sour cream, mayonnaise, onion powder, Dijon mustard, freshly black pepper, garlic, finely grated, bunch chives, thinly, divided, red onion, very thinly through root end, sour cream and onion potato chips"
Tropi-Cobb Salad,"coriander, cumin, turmeric, red pepper flakes, extra-virgin olive oil, divided, garlic, lightly, skinless, boneless chicken thighs, cut into, Kosher salt, lime juice, ripe avocados, ripe mangoes, red onion, thinly, torn Little Gem or green lettuce, cherry tomatoes, halved, Flaky sea salt, mild red pepper flakes, and basil and/or mint"
Pork Meatballs and Cucumber Salad,"golden raisins, thin-skinned cucumbers cut into bite-size, kosher salt, divided, plus more, extra-virgin olive oil, divided, pine nuts, Castelvetrano olives, pitted, divided, egg, garlic, finely grated, panko, finely parsley, red pepper flakes, plus more for serving, Freshly black pepper, pork, red onion, very thinly, tender herb, red wine vinegar, Plain -milk Greek yogurt"
Frozen Avocado Cake,"Softened butter, graham crackers, digestive biscuits or additional graham crackers, sweetened condensed milk, Hass avocados, cream cheese, at room temperature, fine sea salt, lemons, limes"
Chocolate Zucchini Cake,"sifted all purpose flour, unsweetened cocoa powder, baking soda, salt, sugar, butter, room temperature, vegetable oil, eggs, vanilla extract, buttermilk, grated unpeeled zucchini, - semisweet chocolate chips, walnuts"
Swiss Chard Pasta With Toasted Hazelnuts and Parmesan,"hazelnuts, bow tie pasta, butter, plus more if needed, garlic, Hefty each salt and freshly black pepper, red pepper flakes, bunch Swiss chard, stems finely and greens thinly, Parmesan cheese, shaved, balsamic vinegar"
Sweet Corn Frittata With Cherry Tomato Compote,"olive oil, garlic, cherry tomatoes, dry white wine, to basil, thinly, Healthy fine sea salt, Freshly black pepper, cooking fat, bunch scallions, white parts and green parts separately, garlic, potato, scrubbed and cut into -inch chunks, or thawed frozen corn kernels, eggs, red pepper flakes, feta cheese, crumbled"
Tomato Pie With Sour Cream Crust,"all-purpose flour, plus a little extra for dusting, salt, parsley, cold butter, sour cream or plain full-fat yogurt, white wine vinegar, ice water, cooking fat, onion, thinly, mixed heirloom tomatoes, hard salty cheese, such as Manchego or Parmesan, shredded mozzarella cheese, mayonnaise, basil, parsley, thyme, Salt and freshly black pepper, egg, beaten, milk, cream, or water"
Pork Chops and Padrón Chiles en Escabèche,"– "" bone-in pork chops, kosher salt, divided, coriander seeds, Padrón chiles or shishito peppers, stems trimmed dry ends but not completely cut off, red onion, halved through root end, "" thick, garlic, thinly, carrots, tops trimmed, scrubbed, "" thick on a diagonal, or carrots, tops trimmed, peeled, halved, "" thick on a diagonal, red wine vinegar, sherry vinegar or red wine vinegar, honey, paprika, extra-virgin olive oil, divided, coarsely oregano, A spice mill or a mortar and pestle"
Doenjang Jjigae (된장찌개 / Fermented-Soybean Stew),"Dashi, doenjang, gochujang, gochugaru, garlic, soy sauce, or more to taste, onions, cut into -inch dice, green zucchini, cut into -inch chunks, red Korean chili pepper or other long hot chili, thinly on the bias, green Korean chili pepper or other long hot chili, thinly on the bias, brisket, inch thick and cut into - to -inch strips, soft or silken tofu, homemade or store-bought, cut into -inch cubes, bunch scallions, cut into -inch batons"
"Dakgangjeong (닭강정 / Korean Sweet, Crunchy Fried Chicken)","chicken wingettes or dumettes or chicken, kosher salt, black pepper, potato starch, Vegetable oil, toasted peanuts, rice syrup or honey, soy sauce, brown or white sugar, white vinegar, yellow mustard, vegetable oil, garlic, mined, peeled ginger, red chili peppers, toasted sesame seeds, to red pepper flakes"
Spicy Pork Belly Sliders,"onion, thinly, gochujang, soy sauce, garlic, sugar, sake, mirin, toasted sesame oil, skinless pork belly, inch thick and cut into -inch squares, butter, slider buns, Mayonnaise, English cucumbers, peeled, halved lengthwise, seeded, and into matchsticks"
Thai Muslim–Style Grilled Chicken,"– - chicken, white or black peppercorns, garlic, cilantro roots, or finely cilantro stems, light brown sugar, fish sauce, turmeric, kosher salt, coriander, cumin, cardamom, ripe pineapple, distilled white vinegar or apple cider vinegar, garlic, finely, red jalapeños or serrano chiles, seeds removed, finely, granulated sugar, kosher salt, freshly white pepper, saffron threads or turmeric, granulated sugar, kosher salt, virgin coconut oil, Vegetable oil, coarsely cilantro, Cooked jasmine rice, coconut rice, or sticky rice, A spice mill or a mortar and pestle"
Fresh Fruit Tart With Almond Press-In Crust,"egg yolks, all-purpose flour, almond flour or all-purpose flour, sugar, kosher salt, chilled butter, cut into, milk, vanilla paste or vanilla extract, egg yolks, sugar, cornstarch, kosher salt, butter, cut into, blueberries, blackberries, halved if very, Special Equipment: A springform pan or tart pan with removable bottom"
Coconut Rice,"raw Thai jasmine rice, coconut milk, preferably freshly extracted, water, plus granulated sugar, salt, coconut cream, preferably freshly extracted"
Peach and Sesame Crumble,"raw sesame seeds, lemon, peaches, thinly, plus sugar, kosher salt, divided, all-purpose flour, butter, cinnamon, tahini, toasted sesame oil, — cornstarch, Vanilla ice cream"
Pear and Hazelnut Frangipane Tart,"hazelnuts, toasted, loose skins rubbed off in a kitchen towel, and cooled, sugar, all-purpose flour, cold butter, softened, eggs, vanilla extract, almond extract, tart shell, firm-ripe Bosc or Anjou pears, apricot preserves, heated and strained"
Melted Broccoli Pasta With Capers and Anchovies,"Kosher salt, heads broccoli, cut into bitesize florets, -wheat penne pasta, or other short tubular pasta, extra-virgin olive oil, divided, panko or Freezer Bread Crumbs, oil-packed anchovy fillets, capers, if, garlic, red pepper flakes"
Dashi,"gallon cold water, square dashima, shiitake mushrooms, anchovies"
Ginger and Tamarind Refresher,"water, sour tamarind pulp or paste, ginger, preferably young, sugar, One L bottle chilled club soda or chilled water"
Sumac and Saffron Refresher,"to saffron strands, plus a few extra strands for garnish, sugar, green cardamom pods, smashed, sumac, chilled club soda or water"
Peanut Butter Brookies,"smooth peanut butter, light brown sugar, egg, plus egg yolks, all-purpose flour, bicarbonate soda, fine sea salt, peanuts, roughly, butter, plus extra for greasing, cocoa powder, caster sugar, light brown sugar, fine sea salt, vanilla extract, eggs, all-purpose flour"
"Tacos de Gobernador (Shrimp, Poblano, and Cheese Tacos)","neutral cooking oil, such as canola oil, onion, peeled and, garlic, peeled and, poblano chiles, stems removed, cut into ⁄ -inch-wide strips, corn tortillas, Juice limes, bacon, peeled and deveined shrimp, kosher salt, Queso Asadero cheese, limes, cut into wedges, Homemade or store-bought tangy red salsa"
Kimchi Toast,"cream cheese, room temperature, finely kimchi; plus more for serving, scallions, thinly on a diagonal, cilantro with tender stems, lime, Kosher salt, country-style bread, grilled or toasted, Chili oil and toasted white sesame seeds"
Buttered Tomatoes with Ginger,"scallions, butter, ginger, peeled, cut into matchsticks, tomatoes, cut into, plus white or regular soy sauce, Kosher salt, Toasted country-style bread or cooked rice or pasta"
Burst Cherry Tomato Pasta,"extra-virgin olive oil, plus more for drizzling, garlic, smashed, cherry tomatoes, basil, plus basil, torn if, red pepper flakes, kosher salt, plus more, sugar, casarecce or other -size pasta, Parmesan, finely grated, plus more for serving"
Salted PB&J; Ice Cream Pie,"sleeve Ritz crackers or other cracker your choice, raw peanuts or other nut or seed, finely, light or dark brown sugar, Diamond Crystal or Morton kosher salt, butter, eggs, light or dark brown sugar, Diamond Crystal or Morton kosher salt, vanilla extract, natural peanut butter or other natural nut or seed butter, heavy cream, grape jelly or other jelly, jam, or compote"
Farmers Market Farro Bowls,"semi-pearled farro, kosher salt, plus more, eggs, watermelon radish or – red radishes, trimmed, thinly on a mandoline if you’ve got one, unseasoned rice vinegar, sugar, divided, block extra-firm tofu, drained, plus grapeseed or vegetable oil, divided, lime juice, gochujang, mayonnaise, plus soy sauce, plus toasted sesame oil, zucchini or summer squash, halved lengthwise, cut crosswise into half-moons, – thinly or shredded raw vegetables"
Fancy and Beautiful Tomato Salad,"heirloom tomatoes, into – wedges, depending on size, mixed cherry tomatoes, halved, quartered if, kosher salt, divided, plus more, lemon, garlic, extra-virgin olive oil, za’atar, pita chips, honey, feta, thinly into planks, basil, torn if, mint, torn if"
Chicken Thighs With Tomatoes and Feta,"skin-on, bone-in chicken thighs, kosher salt, plus more, cherry tomatoes, harissa paste, red wine vinegar, oregano, divided, feta, cut into planks, Crusty bread"
Corn and Chickpea Bowls With Miso Tahini,"jalapeños, seeded, ginger, peeled, finely grated, garlic, finely grated, cilantro with tender stems, lime juice, tahini, plus miso, Kosher salt, extra-virgin olive oil, divided, plus more for drizzling, garlic, lightly, chickpeas rinsed, drained, ears corn, shucked, kernels removed, spice blend, Kosher salt, tender greens, torn if, avocados, cut into wedges, tomatoes, cut into wedges, Crumbled feta, cilantro, and lime wedges"
Stone Fruit Custard Tart,"butter, raw pistachios, divided, egg, light brown sugar, all-purpose flour, kosher salt, baking powder, eggs, light brown sugar, sour cream, vanilla bean paste or vanilla extract, cardamom, ginger, finely grated orange zest, kosher salt, all-purpose flour, – stone fruit, cut into sixths or eighths, depending on their size, coarse sugar, Powdered sugar, whipped cream, or crème fraîche, A ""-diameter springform pan"
Plátanos Horneados con Crema y Queso (Baked Banana With Crema and Cheese),"heirloom bananas or plantains, ripe but not black, unpeeled, crema or crème fraîche, crumbled queso fresco"
Tamale Pie with Fresh Tomato and Corn,"chorizo, casings removed, or vegetarian substitute such as Lightlife Plant-Based Italian Sausage, beef, or vegetarian substitute such as Lightlife Plant-Based, tomato paste, cumin, onion, grated on a box grater, divided, – jalapeños, thinly, seeded if desired, divided, kosher salt, divided, beefsteak tomatoes, cut into "" cubes, corn kernels, divided, cheddar cheese, grated, eggs, butter, sour cream, plus more for serving, cornmeal, baking powder"
Charred-Peach Panzanella With Pickled Pepper Vinaigrette,"garlic, finely grated, hot pickled peppers, plus pickle brine, stone- or grain mustard, kosher salt, plum tomatoes, "" thick, thick-cut bacon, cut into "", loaf crusty multigrain bread, "" thick, slightly firm peaches, preferably freestone, halved, pitted"
Stuffed Eggplants and Zucchini in a Rich Tomato Sauce (Baatingan w Kusaa Bil Banadoura),"olive oil, onions, finely, / tomato puree, / ripe tomatoes, coarsely grated, / chicken stock or water, sugar, Salt and black pepper, plus / Egyptian rice or arborio rice, / lamb, / olive oil, cinnamon, allspice, cumin, About green onions, finely, / mint, roughly, / parsley, roughly, / dill, roughly, red chile, seeded and finely, lemon: finely grate the zest to get, water, / eggplants, / zucchini, / olive oil, garlic, finely, coriander seeds, lightly in a mortar and pestle, red chile, seeded and finely, / parsley, roughly, / mint, roughly torn, / dill, green onion, thinly, / Greek yogurt"
